municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
317120;VESPASIANO;2018-05-10;5;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
310160;ALFENAS;2018-05-11;5;2018;18º RISP - Poços de Caldas;3) Interior de MG;CONSUMADO;1
311680;COLUNA;2018-05-12;5;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
315895;SANTANA DO PARAISO;2018-05-13;5;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
311860;CONTAGEM;2018-05-15;5;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
314100;MATO VERDE;2018-05-15;5;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
311860;CONTAGEM;2018-05-15;5;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
310620;BELO HORIZONTE;2018-05-16;5;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
311860;CONTAGEM;2018-05-16;5;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
313820;LAVRAS;2018-05-17;5;2018;6º RISP - Lavras;3) Interior de MG;CONSUMADO;1
314180;MINAS NOVAS;2018-05-17;5;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-05-18;5;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
314800;PATOS DE MINAS;2018-05-20;5;2018;10º RISP - Patos de Minas;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2018-05-20;5;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;1
315630;RODEIRO;2018-05-20;5;2018;4º RISP - Juiz de Fora;3) Interior de MG;CONSUMADO;1
315600;RIO VERMELHO;2018-05-21;5;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
316130;SAO FRANCISCO DE SALES;2018-05-23;5;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2018-05-24;5;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
